#0:
>0:19122,33992;21086,32436;
#1:
>0:20028,30403;19904,31065;
#2:
>0:19860,33630;20481,30602;
#3:
>0:20112,33196;20347,30835;
#4:
>0:22931,34551;22735,33298;
#5:
>0:23174,33612;18503,32519;
#6:
>0:19212,31939;21040,34597;
#7:
>0:20971,33003;19302,33265;
#8:
>0:21627,30865;21043,30687;
#9:
>0:20417,19938;20796,22603;20352,28932;20747,34291;15982,37201;
#10:
>0:18504,30775;19985,32713;
#11:
>0:24107,32762;18903,34698;
#12:
>0:15271,35496;11490,38633;14746,37890;13548,37953;16489,35471;14497,38806;
#13:
>0:20228,32953;20388,30918;
#14:
>0:22239,32499;21832,30479;
#15:
>0:21189,33301;23763,34338;
#16:
>0:20725,31695;23113,30476;19088,32463;
#17:
>0:20713,30453;21580,32428;
#18:
>0:17240,35471;11597,36349;16313,35800;
#19:
>0:18742,33895;19190,33422;
#20:
>0:20313,32566;18296,30940;
#21:
>0:16312,38709;11430,37001;18099,37959;13105,38374;
#22:
>0:20324,34345;20880,32905;
#23:
>0:22536,33267;23195,33111;
#24:
>0:18996,30269;19899,32521;
#25:
>0:23958,32202;23391,34104;
#26:
>0:19541,32608;19667,31436;
#27:
>0:24696,30526;22017,33624;
#28:
>0:22015,34462;22174,30631;
#29:
>0:21998,31362;22179,31945;
#30:
>0:25044,32471;24352,33610;
#31:
>0:20054,30667;20498,31618;
#32:
>0:21200,31908;20051,34334;
#33:
>0:24579,30443;22511,32512;
#34:
>0:23590,32962;22958,33717;
#35:
>0:20516,34555;19603,33334;
#36:
>0:18470,33320;18378,30390;
#37:
>0:20110,33629;18336,34683;
#38:
>0:13706,17339;12998,16870;
#39:
>0:18133,38310;17582,36756;
#40:
>0:19362,33492;20029,34693;
#41:
>0:18850,30841;19264,34122;
#42:
>0:23335,34051;22645,30695;
#43:
>0:19549,33714;19695,31307;
#44:
>0:20358,31531;20064,32694;
#45:
>0:22126,30892;24801,32298;
#46:
>0:21190,31474;16350,29779;12385,28820;
#47:
>0:24693,34112;25052,34483;
#48:
>0:21732,30367;24287,34362;
#49:
>0:23272,34006;23757,32319;
#50:
>0:22420,31132;22248,33149;
#51:
>0:15518,36720;12381,36349;15385,38959;13044,34845;17257,38019;
#52:
>0:24091,32043;23692,30990;
#53:
>0:23252,15163;21789,13234;
#54:
>0:11958,34779;16691,34445;16273,34939;14130,36102;
#55:
>0:24524,13509;22769,14297;
#56:
>0:17498,35257;18131,35460;
#57:
>0:12595,36688;12894,37871;
#58:
>0:24352,31188;23401,31105;
#59:
>0:19011,30881;19935,31569;
#60:
>0:14346,33731;12255,29124;15184,25666;
#61:
>0:23061,33016;24965,31386;
#62:
>0:15661,37042;15354,37757;
#63:
>0:22648,30736;22865,33543;
#64:
>0:18571,32285;19692,31229;
#65:
>0:11614,36038;11603,38983;
#66:
>0:16266,35742;14320,37671;16213,37891;
#67:
>0:20536,30294;24407,30536;21373,34154;
#68:
>0:19446,33435;21360,32440;
#69:
>0:20920,32647;18284,34431;
#70:
>0:21012,30760;20945,32609;
#71:
>0:22444,32355;24945,33293;
#72:
>0:22146,33644;22098,30708;
#73:
>0:23493,33266;24996,33581;
#74:
>0:24012,32792;22341,33918;
#75:
>0:22438,33324;23015,31992;
#76:
>0:21598,34583;20234,31555;
#77:
>0:23747,33134;24811,34630;
#78:
>0:23699,16251;24336,14576;
#79:
>0:23350,31337;22258,31148;
#80:
>0:20229,31596;20133,30682;
#81:
>0:21210,32927;20452,31787;
#82:
>0:25031,30452;20114,32750;
#83:
>0:18505,34356;21515,31062;
#84:
>0:24851,34018;22845,33604;
#85:
>0:21000,32102;20458,30331;
#86:
>0:19838,33650;18624,31100;
#87:
>0:21040,30333;20566,31206;
#88:
>0:20102,33060;18497,30366;
#89:
>0:19389,30624;24008,30352;19758,33937;24486,33958;
#90:
>0:21021,34437;24529,30552;19264,30864;
#91:
>0:22269,32280;23863,33270;
#92:
>0:25197,33456;23517,31524;
#93:
>0:11778,37324;16457,36068;11109,37014;
#94:
>0:15075,34996;18050,37002;
#95:
>0:22085,15672;22738,12592;
#96:
>0:22055,34460;24542,33695;
#97:
>0:11423,37101;16668,36434;14365,37668;
#98:
>0:24412,33943;23983,31684;
#99:
>0:14698,38487;12137,36246;15039,34880;12086,38713;15519,36291;11676,38390;
#100:
>0:24836,30563;23092,31928;
#101:
>0:20927,33298;19034,30714;
#102:
>0:23626,30656;21876,31835;
#103:
>0:21007,30469;24291,33009;20872,31675;
#104:
>0:20719,31775;20926,32405;
#105:
>0:22746,30841;23199,33088;
#106:
>0:21409,31866;18277,32273;
#107:
>0:22739,15986;25161,13769;
#108:
>0:22996,14747;23732,16011;
#109:
>0:24478,34190;18593,31381;25044,34030;
#110:
>0:16673,38478;17766,39172;
#111:
>0:15756,35834;15869,35596;
#112:
>0:20534,32752;19213,31581;
#113:
>0:18921,31954;21984,33962;
#114:
>0:16397,38348;16482,37393;
#115:
>0:22233,30245;24462,30381;
#116:
>0:21606,32899;19894,30593;
#117:
>0:24699,14812;18779,17077;18949,23993;
#118:
>0:24181,32464;22648,33580;
#119:
>0:18372,31155;23897,33518;19033,32180;
#120:
>0:20077,30516;18725,32793;
#121:
>0:16162,36889;12703,35901;14885,32216;15973,38695;
#122:
>0:22284,15989;24169,15723;
#123:
>0:23436,15557;23147,16494;
#124:
>0:15749,34756;12408,36649;14897,38092;
#125:
>0:22180,32839;21939,32845;
#126:
>0:24745,34259;25089,34199;
#127:
>0:19523,32649;20337,33726;
#128:
>0:20471,30554;23604,31590;18871,31445;
#129:
>0:22708,31072;23265,31352;
#130:
>0:20962,34532;18836,34154;
#131:
>0:18785,33299;20610,30726;
#132:
>0:19156,31753;20539,30701;
#133:
>0:11609,38244;13041,34964;
#134:
>0:18736,31850;21497,32954;
#135:
>0:18442,31908;19820,33451;
#136:
>0:21618,32994;21539,30921;
#137:
>0:24351,31586;23900,33621;
#138:
>0:24724,31611;22087,31791;
#139:
>0:21016,31103;22894,31491;
#140:
>0:19758,34640;18669,30539;
#141:
>0:24346,30950;23941,30454;
#142:
>0:24767,30970;22393,30531;
#143:
>0:15092,35661;15542,37844;
#144:
>0:19962,32226;18707,30662;
#145:
>0:23138,34627;19283,32023;
#146:
>0:15788,35542;17486,38008;
#147:
>0:20500,30592;21475,32384;
#148:
>0:20810,30657;20804,32990;
#149:
>0:23475,31929;23048,32340;
#150:
>0:21132,32302;21514,33302;
#151:
>0:22965,16641;22076,15335;
#152:
>0:24703,33270;24073,31747;
#153:
>0:11216,35186;14622,35588;18383,33893;
#154:
>0:22543,33145;24916,32135;
#155:
>0:11082,37423;15748,30566;16841,39164;
#156:
>0:21041,32464;18447,34008;
#157:
>0:20316,31826;19781,32142;
#158:
>0:24723,34141;21874,31342;
#159:
>0:18539,34279;22303,33352;
#160:
>0:24735,30920;24592,31717;
#161:
>0:4757,16528;4332,12905;
#162:
>0:23531,30577;19283,31780;22648,30712;
#163:
>0:18285,31301;20244,32919;
#164:
>0:19641,34201;23239,34525;18823,33140;
#165:
>0:22002,32471;24430,34081;
#166:
>0:23083,16222;24263,15298;
#167:
>0:21164,32779;20872,34085;
#168:
>0:18314,33915;21529,31576;
#169:
>0:21515,31097;18938,34177;
#170:
>0:17168,35249;13825,36862;17712,37538;
#171:
>0:17562,37062;16563,35566;
#172:
>0:19152,31118;20251,32479;
#173:
>0:24786,33504;22312,33395;
#174:
>0:21005,32701;20471,34474;
#175:
>0:23588,30615;19940,33858;24336,31530;
#176:
>0:18583,32456;21683,31587;
#177:
